timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732362096384,1471,HTTP Request,200,OK,Thread Group 1-46,text,false,"The operation lasted too long: It took 1,471 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,57,57,https://ptibeadando.eleshu.hu/,1471,0,383
1732362096770,1085,HTTP Request,200,OK,Thread Group 1-90,text,false,"The operation lasted too long: It took 1,085 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,55,55,https://ptibeadando.eleshu.hu/,1085,0,583
1732362095831,2025,HTTP Request,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 2,025 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,55,55,https://ptibeadando.eleshu.hu/,2025,0,1178
1732362095893,1964,HTTP Request,200,OK,Thread Group 1-7,text,false,"The operation lasted too long: It took 1,964 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,53,53,https://ptibeadando.eleshu.hu/,1964,0,1142
1732362096435,1422,HTTP Request,200,OK,Thread Group 1-55,text,false,"The operation lasted too long: It took 1,422 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,53,53,https://ptibeadando.eleshu.hu/,1422,0,684
1732362096386,1473,HTTP Request,200,OK,Thread Group 1-47,text,false,"The operation lasted too long: It took 1,473 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,51,51,https://ptibeadando.eleshu.hu/,1473,0,572
1732362096390,1468,HTTP Request,200,OK,Thread Group 1-50,text,false,"The operation lasted too long: It took 1,468 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,51,51,https://ptibeadando.eleshu.hu/,1468,0,567
1732362096135,1724,HTTP Request,200,OK,Thread Group 1-32,text,false,"The operation lasted too long: It took 1,724 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,51,51,https://ptibeadando.eleshu.hu/,1724,0,484
1732362096708,1152,HTTP Request,200,OK,Thread Group 1-81,text,false,"The operation lasted too long: It took 1,152 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,48,48,https://ptibeadando.eleshu.hu/,1152,0,739
1732362096315,1546,HTTP Request,200,OK,Thread Group 1-43,text,false,"The operation lasted too long: It took 1,546 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,47,47,https://ptibeadando.eleshu.hu/,1546,0,541
1732362095995,1866,HTTP Request,200,OK,Thread Group 1-18,text,false,"The operation lasted too long: It took 1,866 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,47,47,https://ptibeadando.eleshu.hu/,1866,0,594
1732362096257,1605,HTTP Request,200,OK,Thread Group 1-37,text,false,"The operation lasted too long: It took 1,605 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,45,45,https://ptibeadando.eleshu.hu/,1604,0,300
1732362096075,1787,HTTP Request,200,OK,Thread Group 1-26,text,false,"The operation lasted too long: It took 1,787 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,45,45,https://ptibeadando.eleshu.hu/,1787,0,401
1732362095976,1887,HTTP Request,200,OK,Thread Group 1-16,text,false,"The operation lasted too long: It took 1,887 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,44,44,https://ptibeadando.eleshu.hu/,1887,0,683
1732362096415,1448,HTTP Request,200,OK,Thread Group 1-53,text,false,"The operation lasted too long: It took 1,448 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,43,43,https://ptibeadando.eleshu.hu/,1448,0,672
1732362096055,1809,HTTP Request,200,OK,Thread Group 1-24,text,false,"The operation lasted too long: It took 1,809 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,43,43,https://ptibeadando.eleshu.hu/,1809,0,447
1732362095897,1967,HTTP Request,200,OK,Thread Group 1-5,text,false,"The operation lasted too long: It took 1,967 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,40,40,https://ptibeadando.eleshu.hu/,1967,0,933
1732362096015,1850,HTTP Request,200,OK,Thread Group 1-20,text,false,"The operation lasted too long: It took 1,850 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,40,40,https://ptibeadando.eleshu.hu/,1850,0,535
1732362096558,1308,HTTP Request,200,OK,Thread Group 1-67,text,false,"The operation lasted too long: It took 1,308 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,38,38,https://ptibeadando.eleshu.hu/,1308,0,660
1732362096448,1418,HTTP Request,200,OK,Thread Group 1-56,text,false,"The operation lasted too long: It took 1,418 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,38,38,https://ptibeadando.eleshu.hu/,1418,0,666
1732362095986,1881,HTTP Request,200,OK,Thread Group 1-17,text,false,"The operation lasted too long: It took 1,881 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,36,36,https://ptibeadando.eleshu.hu/,1881,0,701
1732362096491,1377,HTTP Request,200,OK,Thread Group 1-61,text,false,"The operation lasted too long: It took 1,377 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,36,36,https://ptibeadando.eleshu.hu/,1377,0,680
1732362096145,1723,HTTP Request,200,OK,Thread Group 1-33,text,false,"The operation lasted too long: It took 1,723 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,36,36,https://ptibeadando.eleshu.hu/,1723,0,378
1732362096560,1310,HTTP Request,200,OK,Thread Group 1-68,text,false,"The operation lasted too long: It took 1,310 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,36,36,https://ptibeadando.eleshu.hu/,1310,0,683
1732362096593,1279,HTTP Request,200,OK,Thread Group 1-70,text,false,"The operation lasted too long: It took 1,279 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,34,34,https://ptibeadando.eleshu.hu/,1279,0,624
1732362096305,1567,HTTP Request,200,OK,Thread Group 1-42,text,false,"The operation lasted too long: It took 1,567 milliseconds, but should not have lasted longer than 600 milliseconds.",1197,126,35,35,https://ptibeadando.eleshu.hu/,1567,0,678
